pair_id,investigator_id,investigator_name,investigator_paradigm,investigator_family,evidence_top3,opportunity_id,notice_number,notice_title,designation,notice_family,purpose_excerpt,stratum,synthetic,tier_a,reason_a,axis_reason_a,tier_b,reason_b,axis_reason_b,tier_adj,reason_adj,axis_reason_adj,notes
x-1_tcell_lab_vs_survivorship_epi,fixture:1_tcell_lab_vs_survivorship_epi,Basic tumor immunologist,,,,fixture:1_tcell_lab_vs_survivorship_epi,,population epidemiology of cancer survivorship disparities,,,,extra,yes,poor,wrong_research_type,paradigm,poor,wrong_research_type,paradigm,,,,"SYNTHETIC FIXTURE — the adversarial case's expected tier (spec §13), not a strategist label"
x-2_cvd_epi_vs_mito_mechanism,fixture:2_cvd_epi_vs_mito_mechanism,Cardiovascular epidemiologist,,,,fixture:2_cvd_epi_vs_mito_mechanism,,cellular mechanisms of cardiomyocyte mitochondrial dysfunction,,,,extra,yes,poor,wrong_research_type,paradigm,poor,wrong_research_type,paradigm,,,,"SYNTHETIC FIXTURE — the adversarial case's expected tier (spec §13), not a strategist label"
x-3_ibd_trialist_vs_population_genomics,fixture:3_ibd_trialist_vs_population_genomics,IBD clinical trialist,,,,fixture:3_ibd_trialist_vs_population_genomics,,genome-wide population study of environmental determinants of IBD incidence,,,,extra,yes,exploratory,not_relevant,,exploratory,not_relevant,,,,,"SYNTHETIC FIXTURE — the adversarial case's expected tier (spec §13), not a strategist label"
x-4_comp_genomics_vs_kidney_genomics,fixture:4_comp_genomics_vs_kidney_genomics,Computational statistical geneticist,,,,fixture:4_comp_genomics_vs_kidney_genomics,,large-scale human genomic analysis of CKD progression,,,,extra,yes,moderate,,,moderate,,,,,,"SYNTHETIC FIXTURE — the adversarial case's expected tier (spec §13), not a strategist label"
x-5_lupus_trialist_vs_sle_trial,fixture:5_lupus_trialist_vs_sle_trial,Lupus clinical trialist,,,,fixture:5_lupus_trialist_vs_sle_trial,,"novel therapeutics in SLE, Clinical Trial Required",,,,extra,yes,strong,,,strong,,,,,,"SYNTHETIC FIXTURE — the adversarial case's expected tier (spec §13), not a strategist label"
x-6a_human_immunologist_vs_besh,fixture:6a_human_immunologist_vs_besh,Basic human immunologist,,,,fixture:6a_human_immunologist_vs_besh,,"mechanistic immunology, Basic Experimental Studies with Humans Required",,,,extra,yes,strong,,,strong,,,,,,"SYNTHETIC FIXTURE — the adversarial case's expected tier (spec §13), not a strategist label"
x-6b_human_immunologist_vs_cart_trial,fixture:6b_human_immunologist_vs_cart_trial,Same immunologist,,,,fixture:6b_human_immunologist_vs_cart_trial,,"CAR-T cell therapy trial, Clinical Trial Required",,,,extra,yes,exploratory,not_relevant,,exploratory,not_relevant,,,,,"SYNTHETIC FIXTURE — the adversarial case's expected tier (spec §13), not a strategist label"
x-7a_hsr_vs_beta_cell_mechanism,fixture:7a_hsr_vs_beta_cell_mechanism,Health services researcher,,,,fixture:7a_hsr_vs_beta_cell_mechanism,,mechanisms of beta-cell dysfunction,,,,extra,yes,poor,wrong_research_type,paradigm,poor,wrong_research_type,paradigm,,,,"SYNTHETIC FIXTURE — the adversarial case's expected tier (spec §13), not a strategist label"
x-7b_hsr_vs_dpp_implementation,fixture:7b_hsr_vs_dpp_implementation,Same health services researcher,,,,fixture:7b_hsr_vs_dpp_implementation,,implementing the Diabetes Prevention Program in community health centers (R18),,,,extra,yes,moderate,,,moderate,,,,,,"SYNTHETIC FIXTURE — the adversarial case's expected tier (spec §13), not a strategist label"
g201,04e59cf5-600a-462c-91bc-b2b97f122c3d,Kole T Roybal,,,,257a590e-b07f-49b0-8557-1a8b87214b78,PAR-24-325,,,,,fit_v1,,Moderate,,,Moderate,,,,,,"SYNTHETIC FIXTURE — fit-v1 Moderate taken as agreed, not a strategist label"
