pair_id,investigator_id,investigator_name,investigator_paradigm,investigator_family,evidence_top3,opportunity_id,notice_number,notice_title,designation,notice_family,purpose_excerpt,stratum,synthetic,tier_a,reason_a,axis_reason_a,tier_b,reason_b,axis_reason_b,tier_adj,reason_adj,axis_reason_adj,notes
g001,c72b5d76-8aee-4989-843f-a7b88a3eb5ab,Wilson Liao,Clinical observational,clinical,Risk of Cutaneous T Cell Lymphoma with Psoriasis Biologic Therapies. | Living with Psoriasis Vulgaris and Multi-Treatment Failure: A Patient and Dermatologist Perspective. | Ethnoracial representation in hidradenitis suppurativa clinical trials.,10739bb1-5684-44d8-988b-c5f286f05dac,RFA-AI-27-004,Atopic Dermatitis Research Network (ADRN) (U19 Clinical Trial Optional),Clinical Trial Optional,none,"Atopic Dermatitis (AD) is a chronic inflammatory pruritic skin disease that affects approximately 11% of children and up to 9% of adults in the United States. AD is associated with defective skin barrier function as well as with several cutaneous immune abnormalities, including type 2 inflammation, decreased expression of antimicrobial peptides, and low numbers of plasmacytoid dendritic cells. These abnormalities, several of which have been previously identified by the Atopic Dermatitis Research Network (ADRN), appear to translate into cutaneous defense defects given that patients with AD…",current,,,,,,,,,,,
g002,2ed11cbc-29c0-400a-b807-ebeea70f9c8e,Marlys S Fassett,Animal-model research,preclinical,Illuminating IL-31-producing cells in allergic skin disease (1R03AR082948-01 · FY2023 · R03) | IL-31-dependent neurogenic inflammation restrains cutaneous type 2 immune response in allergic dermatitis. | Identification of Functionally Relevant microRNAs in the Regulation of Allergic Inflammation.,10739bb1-5684-44d8-988b-c5f286f05dac,RFA-AI-27-004,Atopic Dermatitis Research Network (ADRN) (U19 Clinical Trial Optional),Clinical Trial Optional,none,"Atopic Dermatitis (AD) is a chronic inflammatory pruritic skin disease that affects approximately 11% of children and up to 9% of adults in the United States. AD is associated with defective skin barrier function as well as with several cutaneous immune abnormalities, including type 2 inflammation, decreased expression of antimicrobial peptides, and low numbers of plasmacytoid dendritic cells. These abnormalities, several of which have been previously identified by the Atopic Dermatitis Research Network (ADRN), appear to translate into cutaneous defense defects given that patients with AD…",current,,,,,,,,,,,
g003,48379ce4-c9b5-4b3d-99af-06ee4f9ba0ac,Tiffany C Scharschmidt,Molecular / cellular mechanistic,discovery,Commensal-myeloid crosstalk in neonatal skin regulates interleukin-1 signaling and cutaneous type 17 inflammation. | Skin immunity: dissecting the complex biology of our body's outer barrier. | The best offense is a good beta-defensin.,10739bb1-5684-44d8-988b-c5f286f05dac,RFA-AI-27-004,Atopic Dermatitis Research Network (ADRN) (U19 Clinical Trial Optional),Clinical Trial Optional,none,"Atopic Dermatitis (AD) is a chronic inflammatory pruritic skin disease that affects approximately 11% of children and up to 9% of adults in the United States. AD is associated with defective skin barrier function as well as with several cutaneous immune abnormalities, including type 2 inflammation, decreased expression of antimicrobial peptides, and low numbers of plasmacytoid dendritic cells. These abnormalities, several of which have been previously identified by the Atopic Dermatitis Research Network (ADRN), appear to translate into cutaneous defense defects given that patients with AD…",current,,,,,,,,,,,
g004,139becf2-467a-478d-b373-71483f58ba30,Thomas Arnold,Molecular / cellular mechanistic,discovery,Structure-guiding tools to study the role of choline in the development of congenital hydrocephalus (1R01NS142590-01 · FY2025 · R01) | Targeting aVb8 integrin to restore astrocyte-microglia crosstalk to treat Alzheimer's disease (1R41AG092194-01A1 · FY2025 · R41) | Temporal and Spatial Gene Expression Dynamics in Neonatal HI Hippocampus with Focus on Arginase.,5fda7616-99f5-40d4-abab-d5db4df5326b,PAR-25-037,Cellular and Molecular Biology of Complex Brain Disorders (R21 Clinical Trial Not Allowed),Clinical Trial Not Allowed,discovery,"This Notice of Funding Opportunity (NOFO) encourages research on the biology of high confidence risk factors associated with complex brain disorders, with a focus on the intracellular, transcellular and circuit substrates of neural function. For the purposes of this NOFO , the term ""complex"" can refer to a multifactorial contribution to risk (e.g., polygenic and/or environmental) and/or highly distributed functional features of the brain disorder. Studies may be either hypothesis-generating (unbiased discovery) or hypothesis-testing in design and may utilize in vivo, in situ, or in vitro…",current,,,,,,,,,,,
g005,0e37b839-604f-459f-a705-c407ed1c75d6,Jarish N Cohen,Translational,translational,Regulatory T cells in skin utilize the Cxcr4-Cxcl12 axis to promote hair follicle regeneration. | Regulatory T cells in skin mediate immune privilege of the hair follicle stem cell niche. | CD4+ T Cells Occupy Perivascular and Perifollicular Niches in Healthy Human Skin.,9ae38beb-d5bd-438a-8eec-c631023596aa,PA-25-093,Limited Competition: CCRP Initiative: Promoting a Basic Understanding of Chemical Threats to Skin (R34 Clinical Trial Not Allowed),Clinical Trial Not Allowed,discovery,"This Notice of Funding Opportunity (NOFO) intends to support fundamental research that will contribute to basic understanding of skin injuries caused by chemicals that have been identified as public health threats, with an emphasis on investigating the commonalities of such injuries and identifying potential shared signaling pathways and therapeutic targets for medical countermeasure development.",current,,,,,,,,,,,
g006,85058087-2c17-46ac-86e0-c44b4f8ffe13,Mallar Bhattacharya,Animal-model research,preclinical,Myeloid-mesenchymal crosstalk drives Arg1-dependent profibrotic metabolism via ornithine in lung fibrosis. | Myeloid-mesenchymal crosstalk drives ARG1-dependent profibrotic metabolism via ornithine in lung fibrosis. | IL10 trains macrophage profibrotic function after lung injury.,a2bad359-6326-4ccb-8949-cd391fc3f2fe,PAR-24-065,NHLBI Program Project Applications (P01 Clinical Trials Optional),Clinical Trial Optional,none,"The National Heart, Lung, and Blood Institute (NHLBI) Program Project Grant (P01) supports research related to fundamental processes and diseases of the heart, blood and lymphatic vessels, lungs, and blood, including transfusion medicine, blood resources, and sleep disorders and other programs including implementation science, health disparities, and translation research that address the mission of the Institute. This NOFO requires a minimum of three interrelated research projects that investigate a complex biomedical theme or research question. The projects may be supported by scientific…",current,,,,,,,,,,,
g007,bbb7bfec-8a66-4bfa-926d-203480a36fd4,Joanna J Phillips,Molecular / cellular mechanistic,discovery,MAPK-driven glioma progression and reprogramming of the tumor-associated immune response. | Core B: Biospecimen and Pathology Core (1U54CA302452-01 · FY2025 · U54) | Quantitative Assessment of Preanalytic Variables on Clinical Evaluation of PI3/AKT/mTOR Signaling Activity in Diffuse Glioma.,7738100f-41f8-4f8e-9f26-07b2055653bf,PAR-27-071,Discovery of the Genetic Basis of Childhood Cancers and of Congenital Anomalies: Gabriella Miller Kids First Pediatric Research Program (X01 Clinical Trial Not Allowed),Clinical Trial Not Allowed,population,"As part of the Gabriella Miller Kids First Pediatric Research Program (Kids First Program), the NIH invites applications to submit samples from pediatric cohorts for whole genome sequencing at a Kids First Program supported genomic data generating centers. Applicants are encouraged to propose sequencing of existing pediatric cancer or congenital anomaly cohorts to elucidate the genetic contribution (somatic and/or germline) to childhood cancers, to investigate the genetic etiology of congenital anomalies, to study the molecular basis of the associations between congenital anomalies and…",current,,,,,,,,,,,
g008,5dd30774-1d78-40ab-9efe-367d8b63ecde,Gabriela K Fragiadakis,Molecular / cellular mechanistic,discovery,Single-cell omics technologies - Fundamentals on how to create single-cell looking glasses for reproductive health. | Single-Cell Multiomics. | Distinct pulmonary and systemic effects of dexamethasone in severe COVID-19.,803a9b60-5c51-46a4-915c-32af964dc9b7,PAR-25-447,"NHLBI TOPMed: Omics Phenotypes of Heart, Lung, and Blood Disorders (X01 - Clinical Trial Not Allowed)",Clinical Trial Not Allowed,discovery,"This Notice of Funding Opportunity (NOFO) invites applications to use NHLBI-funded TransOmics for Precision Medicine (TOPMed) program to access TOPMed capacity to generate a large volume of integrated genetic and multi-omics data to facilitate discovery of the molecular mechanisms of Heart, Lung, Blood, and Sleep (HLBS) disorders. No funding will be provided under this NOFO. The genomic data and related phenotypic data will be deposited in a public NIH-designated controlled-access database such as the database for Genotypes and Phenotypes (dbGaP) and NHLBI's BioData Catalyst (BDC). The…",current,,,,,,,,,,,
g009,8850ac87-c422-4022-905c-885b330f2eb4,Julia Carnevale,Molecular / cellular mechanistic,discovery,In vivo genome-wide CRISPR screens in human T cells to enhance T cell therapy for solid tumors. | Virus-like particles enable targeted gene engineering and pooled CRISPR screening in primary human myeloid cells. | Understanding TCR T cell knockout behavior using interpretable machine learning.,d5732d02-20fc-4243-9672-48f17232e905,RFA-CA-27-020,Advanced Development of Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional),Clinical Trial Optional,none,"This Notice of Funding Opportunity (NOFO) invites applications for advanced development and enhancement of emerging informatics technologies to improve the acquisition, analysis, visualization, and interpretation of data across the cancer research continuum including cancer biology, cancer treatment and diagnosis, early cancer detection, risk assessment and prevention, cancer control and epidemiology. As a component of the NCI's Informatics Technology for Cancer Research (ITCR) Program, this NOFO is focused on advancing emerging informatics technology, defined as one that has passed the…",current,,,,,,,,,,,
g010,1beac144-b544-45f2-ada4-25b7d87e3f07,Rushika M Perera,Molecular / cellular mechanistic,discovery,A multi-subunit autophagic capture complex facilitates degradation of ER-stalled MHC class I in pancreatic cancer. | A multi-subunit autophagic capture complex facilitates degradation of ER stalled MHC-I in pancreatic cancer. | PCSK9 drives sterol-dependent metastatic organ choice in pancreatic cancer.,45031d63-28a3-40da-8a70-ff5fb2a8ac9e,PAR-25-070,Mechanisms that Impact Cancer Risk with Use of Incretin Mimetics (R21 Clinical Trial Not Allowed),Clinical Trial Not Allowed,discovery,"Through this notice of funding opportunity (NOFO), the National Cancer Institute (NCI) invites applications for investigator-initiated studies addressing mechanisms by which incretin mimetics, specifically glucagon-like peptide (GLP)-1 or dual GLP-1/glucose-dependent insulinotropic polypeptide (GIP)-1 receptor agonists (RAs), impact cancer risk. The focus on these agents is due to their reported effects on thyroid, prostate and other cancer risks, and the generally more favorable efficacy and side effect profile compared to other classes of incretin mimetics. In addition, this NOFO seeks to…",current,,,,,,,,,,,
g011,9a53c7cc-46be-4075-b587-28e52483dbf6,Hugo Gonzalez Velozo,Basic / fundamental discovery,discovery,Cellular architecture of human brain metastases.,8377a065-fed6-42a9-91a3-b8b66c3c45bf,PAR-25-038,Cellular and Molecular Biology of Complex Brain Disorders (R01 Clinical Trial Not Allowed),Clinical Trial Not Allowed,discovery,"This Notice of Funding Opportunity (NOFO) encourages research on the biology of high-confidence risk factors associated with complex brain disorders, with a focus on the intracellular, transcellular, and circuit substrates of neural function. For the purposes of this NOFO, the term ""complex"" can refer to a multifactorial contribution to risk (e.g., polygenic and/or environmental) and/or highly distributed functional features of the brain disorder. Studies may be either hypothesis-generating (unbiased discovery) or hypothesis-testing in design and may utilize in vivo, in situ or in vitro…",current,,,,,,,,,,,
